crop_id,original_tile_id,dataset,biome,split,image_path,dsm_path,width,height,crs,dsm_min,dsm_max,dsm_delta
potsdam_2_10_000,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_000.tif,data/train/dem/potsdam_2_10_000.tif,512,512,EPSG:32633,41.95,60.58,18.63
potsdam_2_10_001,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_001.tif,data/train/dem/potsdam_2_10_001.tif,512,512,EPSG:32633,40.44,52.97,12.53
potsdam_2_10_002,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_002.tif,data/train/dem/potsdam_2_10_002.tif,512,512,EPSG:32633,42.37,44.72,2.35
potsdam_2_10_003,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_003.tif,data/train/dem/potsdam_2_10_003.tif,512,512,EPSG:32633,41.32,57.58,16.26
potsdam_2_10_004,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_004.tif,data/train/dem/potsdam_2_10_004.tif,512,512,EPSG:32633,41.84,46.4,4.56
potsdam_2_10_005,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_005.tif,data/train/dem/potsdam_2_10_005.tif,512,512,EPSG:32633,38.48,51.59,13.11
potsdam_2_10_006,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_006.tif,data/train/dem/potsdam_2_10_006.tif,512,512,EPSG:32633,42.74,54.47,11.74
potsdam_2_10_007,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_007.tif,data/train/dem/potsdam_2_10_007.tif,512,512,EPSG:32633,43.49,44.37,0.88
potsdam_2_10_008,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_008.tif,data/train/dem/potsdam_2_10_008.tif,512,512,EPSG:32633,43.59,45.6,2.01
potsdam_2_10_009,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_009.tif,data/train/dem/potsdam_2_10_009.tif,512,512,EPSG:32633,42.64,55.27,12.62
potsdam_2_10_010,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_010.tif,data/train/dem/potsdam_2_10_010.tif,512,512,EPSG:32633,43.47,45.61,2.14
potsdam_2_10_011,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_011.tif,data/train/dem/potsdam_2_10_011.tif,512,512,EPSG:32633,43.12,55.93,12.81
potsdam_2_10_012,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_012.tif,data/train/dem/potsdam_2_10_012.tif,512,512,EPSG:32633,43.31,45.46,2.15
potsdam_2_10_013,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_013.tif,data/train/dem/potsdam_2_10_013.tif,512,512,EPSG:32633,42.94,46.56,3.62
potsdam_2_10_014,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_014.tif,data/train/dem/potsdam_2_10_014.tif,512,512,EPSG:32633,42.86,55.97,13.12
potsdam_2_10_015,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_015.tif,data/train/dem/potsdam_2_10_015.tif,512,512,EPSG:32633,43.47,44.55,1.07
potsdam_2_10_016,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_016.tif,data/train/dem/potsdam_2_10_016.tif,512,512,EPSG:32633,43.48,54.55,11.07
potsdam_2_10_017,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_017.tif,data/train/dem/potsdam_2_10_017.tif,512,512,EPSG:32633,41.15,53.09,11.94
potsdam_2_10_018,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_018.tif,data/train/dem/potsdam_2_10_018.tif,512,512,EPSG:32633,42.33,53.76,11.43
potsdam_2_10_019,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_019.tif,data/train/dem/potsdam_2_10_019.tif,512,512,EPSG:32633,42.59,47.05,4.46
potsdam_2_10_020,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_020.tif,data/train/dem/potsdam_2_10_020.tif,512,512,EPSG:32633,42.72,55.53,12.8
potsdam_2_10_021,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_021.tif,data/train/dem/potsdam_2_10_021.tif,512,512,EPSG:32633,42.62,55.48,12.86
potsdam_2_10_022,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_022.tif,data/train/dem/potsdam_2_10_022.tif,512,512,EPSG:32633,42.94,55.6,12.66
potsdam_2_10_023,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_023.tif,data/train/dem/potsdam_2_10_023.tif,512,512,EPSG:32633,42.32,55.73,13.41
potsdam_2_10_024,2_10,potsdam,urban,train,data/train/images/potsdam_2_10_024.tif,data/train/dem/potsdam_2_10_024.tif,512,512,EPSG:32633,42.7,56.93,14.22
potsdam_2_13_000,2_13,potsdam,urban,train,data/train/images/potsdam_2_13_000.tif,data/train/dem/potsdam_2_13_000.tif,512,512,EPSG:32633,37.98,40.82,2.85
potsdam_2_13_001,2_13,potsdam,urban,train,data/train/images/potsdam_2_13_001.tif,data/train/dem/potsdam_2_13_001.tif,512,512,EPSG:32633,37.35,41.64,4.29
potsdam_2_13_002,2_13,potsdam,urban,train,data/train/images/potsdam_2_13_002.tif,data/train/dem/potsdam_2_13_002.tif,512,512,EPSG:32633,33.51,53.33,19.83
potsdam_2_13_003,2_13,potsdam,urban,train,data/train/images/potsdam_2_13_003.tif,data/train/dem/potsdam_2_13_003.tif,512,512,EPSG:32633,34.24,59.29,25.05
