sample_id,tile_id,biome,mae_m,rmse_m,pearson_r,absrel,delta1,delta2,delta3,oracle_mae_m,oracle_rmse_m,oracle_pearson_r,valid_pixels
potsdam_2_11_000,2_11,urban,5.9052,6.2854,0.1286,0.1368,0.9412,1.0,1.0,0.1533,0.2574,0.1286,262144
potsdam_2_11_001,2_11,urban,5.4138,5.7428,-0.0292,0.1256,0.9698,1.0,1.0,0.1247,0.2995,-0.0292,262144
potsdam_2_11_002,2_11,urban,7.9332,7.9804,0.9636,0.1805,0.8547,1.0,1.0,0.3434,0.5924,0.9636,262144
potsdam_2_11_003,2_11,urban,7.8755,8.0331,-0.081,0.178,0.7011,1.0,1.0,0.2029,0.2854,-0.081,262144
potsdam_2_11_004,2_11,urban,9.2599,9.5748,0.8116,0.2014,0.5334,0.9992,1.0,1.4511,2.2291,0.8116,262144
potsdam_2_11_005,2_11,urban,5.4102,5.9533,0.0488,0.1249,0.9182,1.0,1.0,0.1793,0.3231,0.0488,262144
potsdam_2_11_006,2_11,urban,7.1034,7.3478,0.0678,0.1648,0.7641,1.0,1.0,0.1948,0.4142,0.0678,262144
potsdam_2_11_007,2_11,urban,3.5526,3.8499,0.1857,0.0819,0.9968,1.0,1.0,0.3651,0.661,0.1857,262144
potsdam_2_11_008,2_11,urban,5.1379,5.4383,0.6383,0.1185,0.9926,1.0,1.0,0.5116,0.6869,0.6383,262144
potsdam_2_11_009,2_11,urban,4.4689,4.5882,0.8572,0.1066,0.9981,1.0,1.0,0.5968,0.7708,0.8572,262144
potsdam_2_11_010,2_11,urban,5.3625,5.9131,0.1689,0.1242,0.9597,1.0,1.0,0.7754,1.5479,0.1689,262144
potsdam_2_11_011,2_11,urban,10.586,11.1047,0.8662,0.2129,0.3928,0.9861,1.0,2.0245,2.947,0.8662,262144
potsdam_2_11_012,2_11,urban,10.9723,11.2504,0.9533,0.2177,0.3033,0.9999,1.0,1.1658,1.669,0.9533,262144
potsdam_2_11_013,2_11,urban,9.0894,9.8066,0.5846,0.1967,0.686,0.9578,1.0,2.1676,3.6525,0.5846,262144
potsdam_2_11_014,2_11,urban,5.5582,5.8536,0.3695,0.1318,0.9996,1.0,1.0,0.282,0.4666,0.3695,262144
potsdam_2_11_015,2_11,urban,6.1907,6.3373,0.8267,0.1409,0.9553,1.0,1.0,0.7369,1.134,0.8267,262144
potsdam_2_11_016,2_11,urban,4.9469,5.9573,0.6162,0.1115,0.9007,1.0,1.0,2.4309,3.2795,0.6162,262144
potsdam_2_11_017,2_11,urban,6.1345,6.3459,0.6776,0.1477,0.9612,1.0,1.0,1.0159,1.6226,0.6776,262144
potsdam_2_11_018,2_11,urban,3.7942,4.4848,0.2454,0.0878,0.9788,1.0,1.0,1.8072,2.1488,0.2454,262144
potsdam_2_11_019,2_11,urban,2.1312,2.5674,-0.0616,0.053,1.0,1.0,1.0,0.2159,0.2976,-0.0616,262144
potsdam_2_11_020,2_11,urban,3.4971,3.9951,0.2521,0.0848,1.0,1.0,1.0,0.1748,0.2904,0.2521,262144
potsdam_2_11_021,2_11,urban,4.4948,4.5997,0.6124,0.1112,0.9903,1.0,1.0,0.5755,0.9673,0.6124,262144
potsdam_2_11_022,2_11,urban,4.8058,4.888,0.946,0.1183,0.9999,1.0,1.0,0.5343,0.7658,0.946,262144
potsdam_2_11_023,2_11,urban,2.1085,2.4526,-0.5267,0.0537,1.0,1.0,1.0,0.4723,0.6016,-0.5267,262144
potsdam_2_11_024,2_11,urban,2.7101,3.1629,0.3798,0.0689,1.0,1.0,1.0,0.1256,0.1562,0.3798,262144
potsdam_3_12_000,3_12,urban,1.7425,2.0125,0.3719,0.0453,1.0,1.0,1.0,0.5333,0.9404,0.3719,262144
potsdam_3_12_001,3_12,urban,1.9033,2.4239,-0.0369,0.0502,0.9962,1.0,1.0,0.4354,1.1483,-0.0369,262144
potsdam_3_12_002,3_12,urban,5.0223,5.4817,0.9142,0.1163,0.9313,1.0,1.0,1.2431,1.9967,0.9142,262144
potsdam_3_12_003,3_12,urban,5.5338,6.2997,0.9088,0.1237,0.9412,0.9978,1.0,1.3725,2.2744,0.9088,262144
potsdam_3_12_004,3_12,urban,2.7439,3.8285,0.8001,0.065,0.9573,1.0,1.0,1.9946,2.7178,0.8001,262144
potsdam_3_12_005,3_12,urban,1.8738,2.3294,-0.2104,0.0498,0.9977,1.0,1.0,0.3547,0.736,-0.2104,262144
potsdam_3_12_006,3_12,urban,1.8976,2.1867,0.4,0.0505,1.0,1.0,1.0,0.6628,1.3365,0.4,262144
potsdam_3_12_007,3_12,urban,1.9111,2.2879,0.8587,0.0497,0.9993,1.0,1.0,0.9284,1.3184,0.8587,262144
potsdam_3_12_008,3_12,urban,5.0854,7.2268,0.3106,0.1139,0.7673,0.9997,1.0,5.5781,6.5574,0.3106,262144
potsdam_3_12_009,3_12,urban,1.1202,1.6591,0.9023,0.0306,1.0,1.0,1.0,1.0915,1.6139,0.9023,262144
potsdam_3_12_010,3_12,urban,10.5705,11.9767,0.9088,0.1982,0.2996,0.9999,1.0,2.0652,3.5096,0.9088,262144
potsdam_3_12_011,3_12,urban,3.2407,4.2303,0.7851,0.0755,0.9973,1.0,1.0,3.002,3.4894,0.7851,262144
potsdam_3_12_012,3_12,urban,6.4957,7.9728,0.9153,0.1317,0.7498,1.0,1.0,2.4595,3.1203,0.9153,262144
potsdam_3_12_013,3_12,urban,3.9803,5.3046,0.8802,0.087,0.9543,1.0,1.0,1.9541,2.9291,0.8802,262144
potsdam_3_12_014,3_12,urban,3.0796,3.9967,0.5555,0.0756,0.9597,1.0,1.0,2.5076,3.3169,0.5555,262144
potsdam_3_12_015,3_12,urban,8.5373,11.7683,0.946,0.1579,0.6081,0.9778,1.0,2.1536,3.6621,0.946,262144
potsdam_3_12_016,3_12,urban,6.2827,8.9649,0.7652,0.1282,0.7025,0.9993,1.0,3.9706,5.0907,0.7652,262144
potsdam_3_12_017,3_12,urban,5.3725,6.3402,0.9123,0.1126,0.9669,1.0,1.0,1.8535,2.993,0.9123,262144
potsdam_3_12_018,3_12,urban,1.818,2.3724,0.9422,0.0464,0.9999,1.0,1.0,1.064,1.6403,0.9422,262144
potsdam_3_12_019,3_12,urban,2.4065,3.0879,0.8699,0.0618,0.9887,1.0,1.0,1.6404,2.5694,0.8699,262144
